block,stimulus,response,score,rt,filename
1,love,a,1,745,run1
1,pleasure,a,1,495,run1
1,joy,s,0,635,run1
1,bad,d,1,585,run1
1,agony,s,0,585,run1
1,hurt,s,0,535,run1
1,happy,a,1,635,run1
1,evil,d,1,585,run1
1,nasty,d,1,535,run1
1,good,s,0,635,run1
2,black1,s,0,535,run1
2,black3,s,0,585,run1
2,white1,s,0,585,run1
2,black4,d,1,635,run1
2,white4,s,0,585,run1
2,black2,s,0,535,run1
2,white5,s,0,585,run1
2,white3,,0,0,run1
2,black5,,0,-475,run1
2,white2,,0,-975,run1
3,good,,0,-1475,run1
3,evil,,0,-1975,run1
3,black1,,0,-2475,run1
3,white3,,0,-2975,run1
3,black4,,0,-3475,run1
3,black2,,0,-3975,run1
3,white4,,0,-4475,run1
3,nasty,,0,-4975,run1
3,hurt,,0,-5475,run1
3,black5,,0,-5975,run1
3,white1,,0,-6475,run1
3,happy,,0,-6975,run1
3,black3,,0,-7475,run1
3,bad,,0,-7975,run1
3,joy,,0,-8475,run1
3,white2,,0,-8975,run1
3,pleasure,,0,-9475,run1
3,love,,0,-9975,run1
3,white5,,0,-10475,run1
3,agony,,0,-10975,run1
4,block4,,0,-11475,run1
5,white4,,0,-11975,run1
5,white1,,0,-12475,run1
5,black4,,0,-12975,run1
5,white5,,0,-13475,run1
5,black2,,0,-13975,run1
5,black1,,0,-14475,run1
5,white3,,0,-14975,run1
5,white2,,0,-15475,run1
5,black5,,0,-15975,run1
5,black3,,0,-16475,run1
6,evil,,0,-16975,run1
6,happy,,0,-17475,run1
6,agony,,0,-17975,run1
6,good,,0,-18475,run1
6,white3,,0,-18975,run1
6,black4,,0,-19475,run1
6,black2,,0,-19975,run1
6,white2,,0,-20475,run1
6,bad,,0,-20975,run1
6,pleasure,,0,-21475,run1
6,white5,,0,-21975,run1
6,black3,,0,-22475,run1
6,white1,,0,-22975,run1
6,black5,,0,-23475,run1
6,black1,,0,-23975,run1
6,hurt,,0,-24475,run1
6,nasty,,0,-24975,run1
6,joy,,0,-25475,run1
6,love,,0,-25975,run1
6,white4,,0,-26475,run1
