block,stimulus,response,score,rt,filename
1,agony,d,1,745,run1
1,bad,s,0,545,run1
1,pleasure,a,1,585,run1
1,happy,a,1,535,run1
1,hurt,s,0,635,run1
1,joy,a,1,585,run1
1,evil,d,1,585,run1
1,nasty,d,1,535,run1
1,good,s,0,635,run1
1,love,a,1,585,run1
2,white2,s,0,585,run1
2,white3,,0,0,run1
2,white4,,0,-425,run1
2,black3,,0,-925,run1
2,white5,,0,-1425,run1
2,black1,,0,-1925,run1
2,black2,,0,-2425,run1
2,black5,,0,-2925,run1
2,black4,,0,-3425,run1
2,white1,,0,-3925,run1
3,white1,,0,-4425,run1
3,happy,,0,-4510,run1
3,black5,,0,-5010,run1
3,bad,,0,-5510,run1
3,love,,0,-6010,run1
3,black2,,0,-6510,run1
3,hurt,,0,-7010,run1
3,agony,,0,-7510,run1
3,black1,,0,-8010,run1
3,white5,,0,-8510,run1
3,joy,,0,-9010,run1
3,black3,,0,-9510,run1
3,pleasure,,0,-10010,run1
3,white2,,0,-10510,run1
3,good,,0,-11010,run1
3,black4,,0,-11510,run1
3,white3,,0,-12010,run1
3,white4,,0,-12510,run1
3,nasty,,0,-13010,run1
3,evil,,0,-13510,run1
4,block4,,0,-14010,run1
5,black4,,0,-14510,run1
5,white1,,0,-15010,run1
5,white3,,0,-15510,run1
5,black3,,0,-16010,run1
5,black1,,0,-16510,run1
5,black5,,0,-17010,run1
5,white5,,0,-17510,run1
5,black2,,0,-18010,run1
5,white2,,0,-18510,run1
5,white4,,0,-19010,run1
6,happy,,0,-19510,run1
6,black4,,0,-20010,run1
6,love,,0,-20510,run1
6,evil,,0,-21010,run1
6,black5,,0,-21510,run1
6,good,,0,-22010,run1
6,white4,,0,-22510,run1
6,black3,,0,-23010,run1
6,nasty,,0,-23510,run1
6,white3,,0,-24010,run1
6,hurt,,0,-24510,run1
6,agony,,0,-25010,run1
6,pleasure,,0,-25510,run1
6,black2,,0,-26010,run1
6,black1,,0,-26510,run1
6,white2,,0,-27010,run1
6,white1,,0,-27510,run1
6,joy,,0,-28010,run1
6,bad,,0,-28510,run1
6,white5,,0,-29010,run1
