block,stimulus,response,score,rt,filename
1,evil,s,0,745,run1
1,happy,s,0,495,run1
1,nasty,w,0,925,run1
1,hurt,d,1,645,run1
1,joy,w,0,835,run1
1,agony,s,0,645,run1
1,bad,w,0,835,run1
1,pleasure,s,0,645,run1
1,love,a,1,545,run1
1,good,a,1,535,run1
2,black1,d,1,635,run1
2,white1,s,0,585,run1
2,black3,d,1,585,run1
2,white4,a,1,585,run1
2,white2,a,1,535,run1
2,black5,d,1,635,run1
2,white3,w,0,875,run1
2,black4,w,0,585,run1
2,white5,s,0,645,run1
2,black2,d,1,545,run1
3,agony,s,0,585,run1
3,pleasure,s,0,535,run1
3,black2,d,1,635,run1
3,white5,s,0,585,run1
3,white4,a,1,585,run1
3,black4,w,0,875,run1
3,joy,w,0,585,run1
3,bad,w,0,585,run1
3,black3,d,1,645,run1
3,white3,w,0,835,run1
3,white2,a,1,645,run1
3,black1,d,1,545,run1
3,love,a,1,585,run1
3,evil,s,0,585,run1
3,good,a,1,585,run1
3,white1,s,0,585,run1
3,nasty,w,0,875,run1
3,happy,s,0,645,run1
3,hurt,d,1,545,run1
3,black5,d,1,535,run1
4,block4,w,0,675,run1
5,white4,d,1,645,run1
5,black4,w,0,835,run1
5,black2,a,1,645,run1
5,black3,a,1,495,run1
5,white3,w,0,925,run1
5,black5,a,1,645,run1
5,black1,a,1,495,run1
5,white1,s,0,635,run1
5,white5,s,0,535,run1
5,white2,d,1,635,run1
6,white2,,0,0,run1
6,white3,w,0,835,run1
6,joy,w,0,585,run1
6,pleasure,s,0,645,run1
6,black3,a,1,545,run1
6,white5,s,0,585,run1
6,happy,s,0,535,run1
6,white4,d,1,635,run1
6,love,a,1,585,run1
6,black2,a,1,535,run1
6,good,a,1,585,run1
6,hurt,d,1,635,run1
6,agony,s,0,585,run1
6,evil,s,0,535,run1
6,black4,w,0,925,run1
6,black5,a,1,645,run1
6,nasty,w,0,835,run1
6,bad,w,0,585,run1
6,white1,s,0,645,run1
6,black1,a,1,545,run1
